KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,総数,農林漁業就業者世帯,農林漁業・非農林漁業就業者混合世帯,非農林漁業就業者世帯,非就業者世帯,分類不能の世帯
233620050,2,扶桑町,大字斎藤,0,,,1882,12,13,1282,536,39
233620060,2,扶桑町,大字高木,0,,,714,2,2,524,163,23
233620070,2,扶桑町,大字柏森,0,,,3457,13,14,2421,953,56
23424,1,大治町,,0,,,13440,61,56,8352,4607,364
234240010,2,大治町,大字西條,0,,,3842,9,14,2420,1284,115
234240020,2,大治町,大字中島,0,,,109,-,-,84,22,3
234240030,2,大治町,大字花常,0,,,1346,3,4,812,490,37
234240040,2,大治町,大字馬島,0,,,432,1,-,251,166,14
234240050,2,大治町,大字三本木,0,,,1510,4,7,893,574,32
234240060,2,大治町,大字砂子,0,,,2073,9,7,1331,666,60
234240070,2,大治町,大字鎌須賀,0,,,804,4,2,496,279,23
234240080,2,大治町,大字八ツ屋,0,,,359,7,6,189,151,6
234240090,2,大治町,大字長牧,0,,,788,10,7,498,247,26
234240100,2,大治町,大字東條,0,,,491,6,2,287,184,12
234240110,2,大治町,大字北間島,0,,,840,7,3,524,284,22
234240120,2,大治町,大字堀之内,0,,,846,1,4,567,260,14
23425,1,蟹江町,,0,,,16080,57,78,10555,4948,442
234250010,3,蟹江町,大字蟹江本町,0,,,185,-,-,125,58,2
23425001001,4,蟹江町,大字蟹江本町字川西,0,,,185,-,-,125,58,2
23425001002,4,蟹江町,大字蟹江本町字栄花野,0,,,-,-,-,-,-,-
234250030,2,蟹江町,大字須成,0,,,1297,10,4,747,491,45
234250040,2,蟹江町,大字蟹江新田,0,,,807,8,17,556,199,27
234250050,2,蟹江町,大字西之森,0,,,377,1,2,240,126,8
234250060,2,蟹江町,大字今,0,,,933,3,2,609,290,29
234250070,2,蟹江町,大字蟹江新町,0,,,120,4,1,70,37,8
234250081,2,蟹江町,大字鍋蓋新田,0,,,9,-,-,6,2,1
234250082,3,蟹江町,南,0,,,177,1,1,125,46,4
23425008201,4,蟹江町,南一丁目,0,,,32,-,-,29,3,-
23425008202,4,蟹江町,南二丁目,0,,,141,1,1,94,41,4
23425008203,4,蟹江町,南三丁目,0,,,4,-,-,2,2,-
234250090,2,蟹江町,大字新千秋,0,,,193,-,3,119,66,5
234250100,2,蟹江町,平安,0,,,182,-,1,127,51,3
234250110,2,蟹江町,錦,0,,,256,-,-,185,64,7
234250120,2,蟹江町,源氏,0,,,405,1,2,263,124,15
234250130,2,蟹江町,八幡,0,,,303,-,1,213,81,8
234250140,2,蟹江町,泉,0,,,102,-,1,78,23,-
234250150,2,蟹江町,緑,0,,,366,-,-,243,116,7
234250160,2,蟹江町,旭,0,,,224,-,1,140,74,9
234250170,2,蟹江町,須成西,0,,,66,-,-,50,14,2
